Freq. 	 Ampl. 	 Tau 	 Offs
0.8	-0.001374353629	4.54060672033	-0.00052553824693
0.81	-0.00129612131334	4.48284216243	-0.000528288665147
0.82	-0.00122517637924	4.52850911511	-0.000518438732594
0.83	-0.00117197509234	4.50379617417	-0.000543279124976
0.84	-0.00121086650772	4.50021974081	-0.000529176910011
0.85	-0.00126244223366	4.48140435592	-0.000543807895427
0.86	-0.00137434524205	4.58023620384	-0.000526291498844
0.87	-0.00142053903585	4.58180950061	-0.000503581046547
0.88	-0.00141709056499	4.63845899922	-0.00049321691775
0.89	-0.00127008814052	4.42554724284	-0.000544203130556
0.9	-0.0011777491382	4.44719583211	-0.000542559199357
0.91	-0.00112907664442	4.45386463649	-0.000533107249621
0.92	-0.00114540271982	4.45502048853	-0.000537689260053
0.93	-0.00123803965116	4.51546048886	-0.000537810976278
0.94	-0.00136308622127	4.59299315692	-0.000516128044362
0.95	-0.00143716378103	4.62021145207	-0.000501517106861
0.96	-0.0013514083853	4.48960971599	-0.000549027304557
0.97	-0.00130096643146	4.49525026962	-0.000516355934867
0.98	-0.00116084192308	4.42460314475	-0.000546608531858
0.99	-0.00107852915238	4.41638135401	-0.000565098216489
1.0	-0.0011504328621	4.54957055622	-0.000512149456813
1.01	-0.00123367093422	4.58350837284	-0.000526780846012
1.02	-0.00130622387554	4.49313988222	-0.000552050553189
1.03	-0.00140499537961	4.54460554656	-0.000543383724752
1.04	-0.00145059012406	4.65856816049	-0.000492905031363
1.05	-0.00125925237635	4.41237652844	-0.000544817361778
1.06	-0.00113996069557	4.3861890853	-0.000534989087565
1.07	-0.00103845401859	4.39762755148	-0.000553611597096
1.08	-0.00103190383026	4.40608942522	-0.00055246930127
1.09	-0.00113756700775	4.48585081608	-0.000532241392183
1.1	-0.00127954164632	4.54411808478	-0.000538240323673
1.11	-0.00141921941601	4.58298606769	-0.00052500315183
1.12	-0.00143852506129	4.58471573679	-0.000513682437386
1.13	-0.00135695157235	4.5805273672	-0.000502068859171
1.14	-0.00116198239752	4.40744040908	-0.000553450039081
1.15	-0.00105597228499	4.45888320621	-0.000552283462024
